;Villeray;Crémazie;Parc-Extension;Parc-Jarry;François-Perrault;Gabriel-Sagard;René-Goupil;Sainte-Lucie;Café;Middle Eastern;African;Mediterranean;Pizza;Italian;Fast Food;Iberian;Latin;French;East Asian;South Asian;South-East Asian
Villeray;1.00;-0.666666667;-0.666666667;-0.666666667;-0.666666667;-0.666666667;-0.666666667;-0.666666667;-0.222222222;-0.2;-0.285714286;-0.333333333;-0.25;-0.285714286;-0.222222222;-0.285714286;-0.2;-0.25;-0.25;-0.333333333;-0.222222222
Crémazie;0.95;1.00;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;-0.4;-0.363636364;-0.5;-0.285714286;-0.444444444;-0.5;-0.4;-0.5;-0.363636364;-0.444444444;-0.444444444;-0.285714286;-0.4
Parc-Extension;0.89;0.71;1.00;-0.5;-0.5;-0.5;-0.5;-0.5;-0.4;-0.363636364;-0.25;-0.571428571;-0.444444444;-0.25;-0.4;-0.5;-0.363636364;-0.444444444;-0.222222222;-0.571428571;-0.4
Parc-Jarry;0.95;0.89;0.82;1.00;-0.5;-0.5;-0.5;-0.5;-0.4;-0.363636364;-0.5;-0.285714286;-0.444444444;-0.5;-0.4;-0.5;-0.363636364;-0.444444444;-0.444444444;-0.571428571;-0.4
François-Perrault;0.89;0.82;0.75;0.82;1.00;-0.5;-0.5;-0.5;-0.4;-0.363636364;-0.5;-0.571428571;-0.444444444;-0.25;-0.4;-0.5;-0.363636364;-0.222222222;-0.444444444;-0.285714286;-0.4
Gabriel-Sagard;0.82;0.75;0.80;0.75;0.80;1.00;-0.5;-0.5;-0.4;-0.363636364;-0.25;-0.571428571;-0.222222222;-0.5;-0.4;-0.25;-0.363636364;-0.444444444;-0.444444444;-0.285714286;-0.4
René-Goupil;0.67;0.57;0.62;0.57;0.62;0.50;1.00;-0.5;-0.2;-0.363636364;-0.25;-0.285714286;-0.444444444;-0.25;-0.2;-0.25;-0.363636364;-0.222222222;-0.222222222;-0.285714286;-0.2
Sainte-Lucie;0.95;0.78;0.71;0.89;0.71;0.75;0.43;1.00;-0.4;-0.363636364;-0.5;-0.285714286;-0.222222222;-0.5;-0.4;-0.25;-0.363636364;-0.444444444;-0.444444444;-0.571428571;-0.4
Café;0.33;0.36;0.40;0.36;0.40;0.44;0.29;0.36;1.00;-0.823529412;-0.714285714;-0.615384615;-0.666666667;-0.714285714;-0.875;-0.714285714;-0.823529412;-0.8;-0.8;-0.615384615;-0.875
Middle Eastern;0.33;0.36;0.40;0.36;0.40;0.44;0.57;0.36;0.50;1.00;-0.666666667;-0.571428571;-0.75;-0.666666667;-0.823529412;-0.666666667;-0.888888889;-0.75;-0.75;-0.571428571;-0.823529412
African;0.33;0.36;0.20;0.36;0.40;0.22;0.29;0.36;0.50;0.50;1.00;-0.363636364;-0.615384615;-0.666666667;-0.714285714;-0.666666667;-0.666666667;-0.615384615;-0.769230769;-0.545454545;-0.714285714
Mediterranean;0.33;0.18;0.40;0.18;0.40;0.44;0.29;0.18;0.50;0.50;0.50;1.00;-0.5;-0.363636364;-0.615384615;-0.545454545;-0.571428571;-0.5;-0.5;-0.4;-0.615384615
Pizza;0.33;0.36;0.40;0.36;0.40;0.22;0.57;0.18;0.50;0.50;0.50;0.50;1.00;-0.461538462;-0.666666667;-0.769230769;-0.75;-0.571428571;-0.571428571;-0.5;-0.666666667
Italian;0.33;0.36;0.20;0.36;0.20;0.44;0.29;0.36;0.50;0.50;0.50;0.50;0.50;1.00;-0.714285714;-0.5;-0.666666667;-0.769230769;-0.769230769;-0.545454545;-0.714285714
Fast Food;0.33;0.36;0.40;0.36;0.40;0.44;0.29;0.36;0.50;0.50;0.50;0.50;0.50;0.50;1.00;-0.714285714;-0.823529412;-0.8;-0.8;-0.615384615;-0.875
Iberian;0.33;0.36;0.40;0.36;0.40;0.22;0.29;0.18;0.50;0.50;0.50;0.50;0.50;0.50;0.50;1.00;-0.666666667;-0.615384615;-0.615384615;-0.545454545;-0.714285714
Latin;0.33;0.36;0.40;0.36;0.40;0.44;0.57;0.36;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;1.00;-0.75;-0.75;-0.571428571;-0.823529412
French;0.33;0.36;0.40;0.36;0.20;0.44;0.29;0.36;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;1.00;-0.714285714;-0.666666667;-0.8
East Asian;0.33;0.36;0.20;0.36;0.40;0.44;0.29;0.36;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;1.00;-0.5;-0.8
South Asian;0.33;0.18;0.40;0.36;0.20;0.22;0.29;0.36;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;1.00;-0.615384615
South-East Asian;0.33;0.36;0.40;0.36;0.40;0.44;0.29;0.36;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;1.00
