Iberian,Caf,Pizza,Latin,Crmazie,Fast Food,South-East Asian,French,Middle Eastern,Italian,African,East Asian,Mediterranean,Ren-Goupil,Sainte-Lucie,South Asian,Franois-Perrault,Gabriel-Sagard,Parc-Jarry,Parc-Extension,Villeray
Iberian,1.0,0.7142857142857143,0.7692307692307693,0.6666666666666666,0.5,0.7142857142857143,0.7142857142857143,0.6153846153846154,0.6666666666666666,0.5,0.6666666666666666,0.6153846153846154,0.5454545454545454,0.25,0.25,0.5454545454545454,0.5,0.25,0.5,0.5,0.2857142857142857
Caf,0.7142857142857143,1.0,0.6666666666666666,0.8235294117647058,0.4,0.875,0.875,0.8,0.8235294117647058,0.7142857142857143,0.7142857142857143,0.8,0.6153846153846154,0.2,0.4,0.6153846153846154,0.4,0.4,0.4,0.4,0.2222222222222222
Pizza,0.7692307692307693,0.6666666666666666,1.0,0.75,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.5714285714285714,0.75,0.46153846153846156,0.6153846153846154,0.5714285714285714,0.5,0.4444444444444444,0.2222222222222222,0.5,0.4444444444444444,0.2222222222222222,0.4444444444444444,0.4444444444444444,0.25
Latin,0.6666666666666666,0.8235294117647058,0.75,1.0,0.36363636363636365,0.8235294117647058,0.8235294117647058,0.75,0.8888888888888888,0.6666666666666666,0.6666666666666666,0.75,0.5714285714285714,0.36363636363636365,0.36363636363636365,0.5714285714285714,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.2
Crmazie,0.5,0.4,0.4444444444444444,0.36363636363636365,1.0,0.4,0.4,0.4444444444444444,0.36363636363636365,0.5,0.5,0.4444444444444444,0.2857142857142857,0.5,0.5,0.2857142857142857,0.5,0.5,0.5,0.5,0.6666666666666666
Fast Food,0.7142857142857143,0.875,0.6666666666666666,0.8235294117647058,0.4,1.0,0.875,0.8,0.8235294117647058,0.7142857142857143,0.7142857142857143,0.8,0.6153846153846154,0.2,0.4,0.6153846153846154,0.4,0.4,0.4,0.4,0.2222222222222222
South-East Asian,0.7142857142857143,0.875,0.6666666666666666,0.8235294117647058,0.4,0.875,1.0,0.8,0.8235294117647058,0.7142857142857143,0.7142857142857143,0.8,0.6153846153846154,0.2,0.4,0.6153846153846154,0.4,0.4,0.4,0.4,0.2222222222222222
French,0.6153846153846154,0.8,0.5714285714285714,0.75,0.4444444444444444,0.8,0.8,1.0,0.75,0.7692307692307693,0.6153846153846154,0.7142857142857143,0.5,0.2222222222222222,0.4444444444444444,0.6666666666666666,0.2222222222222222,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.25
Middle Eastern,0.6666666666666666,0.8235294117647058,0.75,0.8888888888888888,0.36363636363636365,0.8235294117647058,0.8235294117647058,0.75,1.0,0.6666666666666666,0.6666666666666666,0.75,0.5714285714285714,0.36363636363636365,0.36363636363636365,0.5714285714285714,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.2
Italian,0.5,0.7142857142857143,0.46153846153846156,0.6666666666666666,0.5,0.7142857142857143,0.7142857142857143,0.7692307692307693,0.6666666666666666,1.0,0.6666666666666666,0.7692307692307693,0.36363636363636365,0.25,0.5,0.5454545454545454,0.25,0.5,0.5,0.25,0.2857142857142857
African,0.6666666666666666,0.7142857142857143,0.6153846153846154,0.6666666666666666,0.5,0.7142857142857143,0.7142857142857143,0.6153846153846154,0.6666666666666666,0.6666666666666666,1.0,0.7692307692307693,0.36363636363636365,0.25,0.5,0.5454545454545454,0.5,0.25,0.5,0.25,0.2857142857142857
East Asian,0.6153846153846154,0.8,0.5714285714285714,0.75,0.4444444444444444,0.8,0.8,0.7142857142857143,0.75,0.7692307692307693,0.7692307692307693,1.0,0.5,0.2222222222222222,0.4444444444444444,0.5,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.2222222222222222,0.25
Mediterranean,0.5454545454545454,0.6153846153846154,0.5,0.5714285714285714,0.2857142857142857,0.6153846153846154,0.6153846153846154,0.5,0.5714285714285714,0.36363636363636365,0.36363636363636365,0.5,1.0,0.2857142857142857,0.2857142857142857,0.4,0.5714285714285714,0.5714285714285714,0.2857142857142857,0.5714285714285714,0.3333333333333333
Ren-Goupil,0.25,0.2,0.4444444444444444,0.36363636363636365,0.5,0.2,0.2,0.2222222222222222,0.36363636363636365,0.25,0.25,0.2222222222222222,0.2857142857142857,1.0,0.5,0.2857142857142857,0.5,0.5,0.5,0.5,0.6666666666666666
Sainte-Lucie,0.25,0.4,0.2222222222222222,0.36363636363636365,0.5,0.4,0.4,0.4444444444444444,0.36363636363636365,0.5,0.5,0.4444444444444444,0.2857142857142857,0.5,1.0,0.5714285714285714,0.5,0.5,0.5,0.5,0.6666666666666666
South Asian,0.5454545454545454,0.6153846153846154,0.5,0.5714285714285714,0.2857142857142857,0.6153846153846154,0.6153846153846154,0.6666666666666666,0.5714285714285714,0.5454545454545454,0.5454545454545454,0.5,0.4,0.2857142857142857,0.5714285714285714,1.0,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.5714285714285714,0.3333333333333333
Franois-Perrault,0.5,0.4,0.4444444444444444,0.36363636363636365,0.5,0.4,0.4,0.2222222222222222,0.36363636363636365,0.25,0.5,0.4444444444444444,0.5714285714285714,0.5,0.5,0.2857142857142857,1.0,0.5,0.5,0.5,0.6666666666666666
Gabriel-Sagard,0.25,0.4,0.2222222222222222,0.36363636363636365,0.5,0.4,0.4,0.4444444444444444,0.36363636363636365,0.5,0.25,0.4444444444444444,0.5714285714285714,0.5,0.5,0.2857142857142857,0.5,1.0,0.5,0.5,0.6666666666666666
Parc-Jarry,0.5,0.4,0.4444444444444444,0.36363636363636365,0.5,0.4,0.4,0.4444444444444444,0.36363636363636365,0.5,0.5,0.4444444444444444,0.2857142857142857,0.5,0.5,0.5714285714285714,0.5,0.5,1.0,0.5,0.6666666666666666
Parc-Extension,0.5,0.4,0.4444444444444444,0.36363636363636365,0.5,0.4,0.4,0.4444444444444444,0.36363636363636365,0.25,0.25,0.2222222222222222,0.5714285714285714,0.5,0.5,0.5714285714285714,0.5,0.5,0.5,1.0,0.6666666666666666
Villeray,0.2857142857142857,0.2222222222222222,0.25,0.2,0.6666666666666666,0.2222222222222222,0.2222222222222222,0.25,0.2,0.2857142857142857,0.2857142857142857,0.25,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0
