French,African,Italian,Pizza,South-East Asian,Caf,Middle Eastern,Fast Food,Iberian,East Asian,Latin,Mediterranean,Crmazie,Parc-Extension,South Asian,Villeray,Gabriel-Sagard,Sainte-Lucie,Ren-Goupil,Parc-Jarry,Franois-Perrault
French,1.0,0.6153846153846154,0.7692307692307693,0.5714285714285714,0.8,0.8,0.75,0.8,0.6153846153846154,0.7142857142857143,0.75,0.5,0.4444444444444444,0.4444444444444444,0.6666666666666666,0.25,0.4444444444444444,0.4444444444444444,0.2222222222222222,0.4444444444444444,0.2222222222222222
African,0.6153846153846154,1.0,0.6666666666666666,0.6153846153846154,0.7142857142857143,0.7142857142857143,0.6666666666666666,0.7142857142857143,0.6666666666666666,0.7692307692307693,0.6666666666666666,0.36363636363636365,0.5,0.25,0.5454545454545454,0.2857142857142857,0.25,0.5,0.25,0.5,0.5
Italian,0.7692307692307693,0.6666666666666666,1.0,0.46153846153846156,0.7142857142857143,0.7142857142857143,0.6666666666666666,0.7142857142857143,0.5,0.7692307692307693,0.6666666666666666,0.36363636363636365,0.5,0.25,0.5454545454545454,0.2857142857142857,0.5,0.5,0.25,0.5,0.25
Pizza,0.5714285714285714,0.6153846153846154,0.46153846153846156,1.0,0.6666666666666666,0.6666666666666666,0.75,0.6666666666666666,0.7692307692307693,0.5714285714285714,0.75,0.5,0.4444444444444444,0.4444444444444444,0.5,0.25,0.2222222222222222,0.2222222222222222,0.4444444444444444,0.4444444444444444,0.4444444444444444
South-East Asian,0.8,0.7142857142857143,0.7142857142857143,0.6666666666666666,1.0,0.875,0.8235294117647058,0.875,0.7142857142857143,0.8,0.8235294117647058,0.6153846153846154,0.4,0.4,0.6153846153846154,0.2222222222222222,0.4,0.4,0.2,0.4,0.4
Caf,0.8,0.7142857142857143,0.7142857142857143,0.6666666666666666,0.875,1.0,0.8235294117647058,0.875,0.7142857142857143,0.8,0.8235294117647058,0.6153846153846154,0.4,0.4,0.6153846153846154,0.2222222222222222,0.4,0.4,0.2,0.4,0.4
Middle Eastern,0.75,0.6666666666666666,0.6666666666666666,0.75,0.8235294117647058,0.8235294117647058,1.0,0.8235294117647058,0.6666666666666666,0.75,0.8888888888888888,0.5714285714285714,0.36363636363636365,0.36363636363636365,0.5714285714285714,0.2,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365
Fast Food,0.8,0.7142857142857143,0.7142857142857143,0.6666666666666666,0.875,0.875,0.8235294117647058,1.0,0.7142857142857143,0.8,0.8235294117647058,0.6153846153846154,0.4,0.4,0.6153846153846154,0.2222222222222222,0.4,0.4,0.2,0.4,0.4
Iberian,0.6153846153846154,0.6666666666666666,0.5,0.7692307692307693,0.7142857142857143,0.7142857142857143,0.6666666666666666,0.7142857142857143,1.0,0.6153846153846154,0.6666666666666666,0.5454545454545454,0.5,0.5,0.5454545454545454,0.2857142857142857,0.25,0.25,0.25,0.5,0.5
East Asian,0.7142857142857143,0.7692307692307693,0.7692307692307693,0.5714285714285714,0.8,0.8,0.75,0.8,0.6153846153846154,1.0,0.75,0.5,0.4444444444444444,0.2222222222222222,0.5,0.25,0.4444444444444444,0.4444444444444444,0.2222222222222222,0.4444444444444444,0.4444444444444444
Latin,0.75,0.6666666666666666,0.6666666666666666,0.75,0.8235294117647058,0.8235294117647058,0.8888888888888888,0.8235294117647058,0.6666666666666666,0.75,1.0,0.5714285714285714,0.36363636363636365,0.36363636363636365,0.5714285714285714,0.2,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365
Mediterranean,0.5,0.36363636363636365,0.36363636363636365,0.5,0.6153846153846154,0.6153846153846154,0.5714285714285714,0.6153846153846154,0.5454545454545454,0.5,0.5714285714285714,1.0,0.2857142857142857,0.5714285714285714,0.4,0.3333333333333333,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.5714285714285714
Crmazie,0.4444444444444444,0.5,0.5,0.4444444444444444,0.4,0.4,0.36363636363636365,0.4,0.5,0.4444444444444444,0.36363636363636365,0.2857142857142857,1.0,0.5,0.2857142857142857,0.6666666666666666,0.5,0.5,0.5,0.5,0.5
Parc-Extension,0.4444444444444444,0.25,0.25,0.4444444444444444,0.4,0.4,0.36363636363636365,0.4,0.5,0.2222222222222222,0.36363636363636365,0.5714285714285714,0.5,1.0,0.5714285714285714,0.6666666666666666,0.5,0.5,0.5,0.5,0.5
South Asian,0.6666666666666666,0.5454545454545454,0.5454545454545454,0.5,0.6153846153846154,0.6153846153846154,0.5714285714285714,0.6153846153846154,0.5454545454545454,0.5,0.5714285714285714,0.4,0.2857142857142857,0.5714285714285714,1.0,0.3333333333333333,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.5714285714285714,0.2857142857142857
Villeray,0.25,0.2857142857142857,0.2857142857142857,0.25,0.2222222222222222,0.2222222222222222,0.2,0.2222222222222222,0.2857142857142857,0.25,0.2,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
Gabriel-Sagard,0.4444444444444444,0.25,0.5,0.2222222222222222,0.4,0.4,0.36363636363636365,0.4,0.25,0.4444444444444444,0.36363636363636365,0.5714285714285714,0.5,0.5,0.2857142857142857,0.6666666666666666,1.0,0.5,0.5,0.5,0.5
Sainte-Lucie,0.4444444444444444,0.5,0.5,0.2222222222222222,0.4,0.4,0.36363636363636365,0.4,0.25,0.4444444444444444,0.36363636363636365,0.2857142857142857,0.5,0.5,0.5714285714285714,0.6666666666666666,0.5,1.0,0.5,0.5,0.5
Ren-Goupil,0.2222222222222222,0.25,0.25,0.4444444444444444,0.2,0.2,0.36363636363636365,0.2,0.25,0.2222222222222222,0.36363636363636365,0.2857142857142857,0.5,0.5,0.2857142857142857,0.6666666666666666,0.5,0.5,1.0,0.5,0.5
Parc-Jarry,0.4444444444444444,0.5,0.5,0.4444444444444444,0.4,0.4,0.36363636363636365,0.4,0.5,0.4444444444444444,0.36363636363636365,0.2857142857142857,0.5,0.5,0.5714285714285714,0.6666666666666666,0.5,0.5,0.5,1.0,0.5
Franois-Perrault,0.2222222222222222,0.5,0.25,0.4444444444444444,0.4,0.4,0.36363636363636365,0.4,0.5,0.4444444444444444,0.36363636363636365,0.5714285714285714,0.5,0.5,0.2857142857142857,0.6666666666666666,0.5,0.5,0.5,0.5,1.0
