c1,c2,c1_depth,c2_depth,lcs_depth,wupalmer
Crmazie,Crmazie,9,9,9,1.0
Crmazie,Parc-Jarry,9,9,8,0.8888888888888888
Crmazie,Villeray,9,10,9,0.9473684210526315
Crmazie,Parc-Extension,9,8,6,0.7058823529411765
Crmazie,Gabriel-Sagard,9,7,6,0.75
Crmazie,Franois-Perrault,9,8,7,0.8235294117647058
Crmazie,Mediterranean,9,2,1,0.18181818181818182
Crmazie,Ren-Goupil,9,5,4,0.5714285714285714
Crmazie,Sainte-Lucie,9,9,7,0.7777777777777778
Crmazie,Middle Eastern,9,2,2,0.36363636363636365
Crmazie,South-East Asian,9,2,2,0.36363636363636365
Crmazie,East Asian,9,2,2,0.36363636363636365
Crmazie,Fast Food,9,2,2,0.36363636363636365
Crmazie,South Asian,9,2,1,0.18181818181818182
Crmazie,Caf,9,2,2,0.36363636363636365
Crmazie,French,9,2,2,0.36363636363636365
Crmazie,Pizza,9,2,2,0.36363636363636365
Crmazie,Latin,9,2,2,0.36363636363636365
Crmazie,Italian,9,2,2,0.36363636363636365
Crmazie,African,9,2,2,0.36363636363636365
Crmazie,Iberian,9,2,2,0.36363636363636365
Parc-Jarry,Crmazie,9,9,8,0.8888888888888888
Parc-Jarry,Parc-Jarry,9,9,9,1.0
Parc-Jarry,Villeray,9,10,9,0.9473684210526315
Parc-Jarry,Parc-Extension,9,8,7,0.8235294117647058
Parc-Jarry,Gabriel-Sagard,9,7,6,0.75
Parc-Jarry,Franois-Perrault,9,8,7,0.8235294117647058
Parc-Jarry,Mediterranean,9,2,1,0.18181818181818182
Parc-Jarry,Ren-Goupil,9,5,4,0.5714285714285714
Parc-Jarry,Sainte-Lucie,9,9,8,0.8888888888888888
Parc-Jarry,Middle Eastern,9,2,2,0.36363636363636365
Parc-Jarry,South-East Asian,9,2,2,0.36363636363636365
Parc-Jarry,East Asian,9,2,2,0.36363636363636365
Parc-Jarry,Fast Food,9,2,2,0.36363636363636365
Parc-Jarry,South Asian,9,2,2,0.36363636363636365
Parc-Jarry,Caf,9,2,2,0.36363636363636365
Parc-Jarry,French,9,2,2,0.36363636363636365
Parc-Jarry,Pizza,9,2,2,0.36363636363636365
Parc-Jarry,Latin,9,2,2,0.36363636363636365
Parc-Jarry,Italian,9,2,2,0.36363636363636365
Parc-Jarry,African,9,2,2,0.36363636363636365
Parc-Jarry,Iberian,9,2,2,0.36363636363636365
Villeray,Crmazie,10,9,9,0.9473684210526315
Villeray,Parc-Jarry,10,9,9,0.9473684210526315
Villeray,Villeray,10,10,10,1.0
Villeray,Parc-Extension,10,8,8,0.8888888888888888
Villeray,Gabriel-Sagard,10,7,7,0.8235294117647058
Villeray,Franois-Perrault,10,8,8,0.8888888888888888
Villeray,Mediterranean,10,2,2,0.3333333333333333
Villeray,Ren-Goupil,10,5,5,0.6666666666666666
Villeray,Sainte-Lucie,10,9,9,0.9473684210526315
Villeray,Middle Eastern,10,2,2,0.3333333333333333
Villeray,South-East Asian,10,2,2,0.3333333333333333
Villeray,East Asian,10,2,2,0.3333333333333333
Villeray,Fast Food,10,2,2,0.3333333333333333
Villeray,South Asian,10,2,2,0.3333333333333333
Villeray,Caf,10,2,2,0.3333333333333333
Villeray,French,10,2,2,0.3333333333333333
Villeray,Pizza,10,2,2,0.3333333333333333
Villeray,Latin,10,2,2,0.3333333333333333
Villeray,Italian,10,2,2,0.3333333333333333
Villeray,African,10,2,2,0.3333333333333333
Villeray,Iberian,10,2,2,0.3333333333333333
Parc-Extension,Crmazie,8,9,6,0.7058823529411765
Parc-Extension,Parc-Jarry,8,9,7,0.8235294117647058
Parc-Extension,Villeray,8,10,8,0.8888888888888888
Parc-Extension,Parc-Extension,8,8,8,1.0
Parc-Extension,Gabriel-Sagard,8,7,6,0.8
Parc-Extension,Franois-Perrault,8,8,6,0.75
Parc-Extension,Mediterranean,8,2,2,0.4
