c1,c2,c1_height,c2_height,lcs_height,wupalmer
French,French,7,7,7,1.0
French,African,7,6,4,0.6153846153846154
French,Italian,7,6,5,0.7692307692307693
French,Pizza,7,7,4,0.5714285714285714
French,South-East Asian,7,8,6,0.8
French,Caf,7,8,6,0.8
French,Middle Eastern,7,9,6,0.75
French,Fast Food,7,8,6,0.8
French,Iberian,7,6,4,0.6153846153846154
French,East Asian,7,7,5,0.7142857142857143
French,Latin,7,9,6,0.75
French,Mediterranean,7,5,3,0.5
French,Crmazie,7,2,2,0.4444444444444444
French,Parc-Extension,7,2,2,0.4444444444444444
French,South Asian,7,5,4,0.6666666666666666
French,Villeray,7,1,1,0.25
French,Gabriel-Sagard,7,2,2,0.4444444444444444
French,Sainte-Lucie,7,2,2,0.4444444444444444
French,Ren-Goupil,7,2,1,0.2222222222222222
French,Parc-Jarry,7,2,2,0.4444444444444444
French,Franois-Perrault,7,2,1,0.2222222222222222
African,French,6,7,4,0.6153846153846154
African,African,6,6,6,1.0
African,Italian,6,6,4,0.6666666666666666
African,Pizza,6,7,4,0.6153846153846154
African,South-East Asian,6,8,5,0.7142857142857143
African,Caf,6,8,5,0.7142857142857143
African,Middle Eastern,6,9,5,0.6666666666666666
African,Fast Food,6,8,5,0.7142857142857143
African,Iberian,6,6,4,0.6666666666666666
African,East Asian,6,7,5,0.7692307692307693
African,Latin,6,9,5,0.6666666666666666
African,Mediterranean,6,5,2,0.36363636363636365
African,Crmazie,6,2,2,0.5
African,Parc-Extension,6,2,1,0.25
African,South Asian,6,5,3,0.5454545454545454
African,Villeray,6,1,1,0.2857142857142857
African,Gabriel-Sagard,6,2,1,0.25
African,Sainte-Lucie,6,2,2,0.5
African,Ren-Goupil,6,2,1,0.25
African,Parc-Jarry,6,2,2,0.5
African,Franois-Perrault,6,2,2,0.5
Italian,French,6,7,5,0.7692307692307693
Italian,African,6,6,4,0.6666666666666666
Italian,Italian,6,6,6,1.0
Italian,Pizza,6,7,3,0.46153846153846156
Italian,South-East Asian,6,8,5,0.7142857142857143
Italian,Caf,6,8,5,0.7142857142857143
